"entity","year","domestic","foreign","total","domestic_va_share","domestic_va_share_pct","label","panel","color"
"CN",2010,5017527.455,637669.311000033,5655196.76600004,0.887241887880223,88.7241887880223,"China",1,"#ff7f79"
"CN",2011,6079831.008,773457.476000033,6853288.48400003,0.887140680301759,88.7140680301759,"China",1,"#ff7f79"
"CN",2012,7775937.511,854609.488000055,8630546.99900005,0.900978525683358,90.0978525683358,"China",1,"#ff7f79"
"CN",2013,8506265.85399999,903233.674000063,9409499.52800005,0.904008319325349,90.4008319325349,"China",1,"#ff7f79"
"CN",2014,9459864.32500001,901981.236000056,10361845.5610001,0.912951681175896,91.2951681175896,"China",1,"#ff7f79"
"CN",2015,11666958.833,934829.864000044,12601788.697,0.925817684578175,92.5817684578175,"China",1,"#ff7f79"
"CN",2016,11744429.362,931441.150000047,12675870.512,0.926518565402016,92.6518565402016,"China",1,"#ff7f79"
"CN",2017,11941309.204,1001190.52200005,12942499.726,0.922643187699764,92.2643187699764,"China",1,"#ff7f79"
"CN",2018,12715422.669,1083477.057,13798899.726,0.921480909455519,92.1480909455519,"China",1,"#ff7f79"
"CN",2019,13767552.514,1086264.165,14853816.679,0.926869693596277,92.6869693596277,"China",1,"#ff7f79"
"CN",2020,13703593.032,1066167.85000003,14769760.882,0.927814142793647,92.7814142793647,"China",1,"#ff7f79"
"CN",2021,16418072.71,1360120.00099999,17778192.711,0.923495035569142,92.3495035569142,"China",1,"#ff7f79"
"CN",2022,18582514.974,1555280.429,20137795.403,0.922768088667328,92.2768088667328,"China",1,"#ff7f79"
"CN",2023,17764013.467,1468091.49099999,19232104.958,0.923664544562019,92.3664544562019,"China",1,"#ff7f79"
"EU27_2020",2010,4369613.60700658,728635.834000695,5098249.44100728,0.857081172188245,85.7081172188245,"European Union",1,"#20c653"
"EU27_2020",2011,4769241.64600684,840649.362001089,5609891.00800793,0.850148717541733,85.0148717541733,"European Union",1,"#20c653"
"EU27_2020",2012,4585626.43000672,876047.476001394,5461673.90600811,0.839600918861579,83.9600918861579,"European Union",1,"#20c653"
"EU27_2020",2013,4506545.6670067,834948.403001071,5341494.07000777,0.843686355903816,84.3686355903816,"European Union",1,"#20c653"
"EU27_2020",2014,4587247.64000664,820675.872001039,5407923.51200768,0.848245658397568,84.8245658397568,"European Union",1,"#20c653"
"EU27_2020",2015,4627794.07300648,793595.41600068,5421389.48900716,0.853617708594847,85.3617708594847,"European Union",1,"#20c653"
"EU27_2020",2016,4693766.1650065,751754.721000601,5445520.8860071,0.861949896669697,86.1949896669697,"European Union",1,"#20c653"
"EU27_2020",2017,4989520.64600696,846331.016000831,5835851.66200779,0.85497729123059,85.497729123059,"European Union",1,"#20c653"
"EU27_2020",2018,5208346.45200721,933420.326001005,6141766.77800821,0.848020877421901,84.8020877421901,"European Union",1,"#20c653"
"EU27_2020",2019,5215680.93500702,939567.282001049,6155248.21700807,0.847355094567128,84.7355094567128,"European Union",1,"#20c653"
"EU27_2020",2020,4848511.18900639,744212.805000498,5592723.99400689,0.86693196270762,86.693196270762,"European Union",1,"#20c653"
"EU27_2020",2021,5648785.11800733,957997.50900116,6606782.62700849,0.854997876714625,85.4997876714625,"European Union",1,"#20c653"
"EU27_2020",2022,6702515.14500723,1337961.53500033,8040476.68000756,0.833596739565561,83.3596739565562,"European Union",1,"#20c653"
"EU27_2020",2023,6761340.77300716,1196832.08100063,7958172.85400779,0.849609690194415,84.9609690194415,"European Union",1,"#20c653"
"US",2010,3162684.484,508815.796999965,3671500.28099996,0.861414746545686,86.1414746545686,"United States",1,"#6da5ff"
"US",2011,3340015.821,604891.751000009,3944907.57200001,0.84666516516296,84.666516516296,"United States",1,"#6da5ff"
"US",2012,3727872.715,653704.525000012,4381577.24000001,0.850806116338141,85.0806116338141,"United States",1,"#6da5ff"
"US",2013,3714930.325,618299.492000005,4333229.81700001,0.857312093262557,85.7312093262557,"United States",1,"#6da5ff"
"US",2014,3762695.389,623816.687000007,4386512.07600001,0.857787536842061,85.7787536842061,"United States",1,"#6da5ff"
"US",2015,4298341.63400001,627568.750000003,4925910.38400001,0.87259842321971,87.259842321971,"United States",1,"#6da5ff"
"US",2016,4191232.031,586202.794000004,4777434.825,0.877297584274213,87.7297584274213,"United States",1,"#6da5ff"
"US",2017,4245465.702,601360.149999999,4846825.852,0.875927015254354,87.5927015254354,"United States",1,"#6da5ff"
"US",2018,4334804.802,627076.990999998,4961881.793,0.873621134650033,87.3621134650033,"United States",1,"#6da5ff"
"US",2019,4556061.49899999,610458.362000005,5166519.861,0.88184341134385,88.184341134385,"United States",1,"#6da5ff"
"US",2020,4142830.697,516382.285999968,4659212.98299997,0.889169632750405,88.9169632750405,"United States",1,"#6da5ff"
"US",2021,4580567.46500001,655451.179000004,5236018.64400001,0.874818784354198,87.4818784354198,"United States",1,"#6da5ff"
"US",2022,5748919.334,825602.070000033,6574521.40400003,0.874424004537011,87.4424004537011,"United States",1,"#6da5ff"
"US",2023,5803074.96799999,792229.509000012,6595304.47700001,0.879879767224883,87.9879767224883,"United States",1,"#6da5ff"
"DE",2010,276657646.992,152136758.119,428794405.111,0.645198826510768,64.5198826510768,"Germany",2,"#ff7f79"
"DE",2011,297424044.277,169921222.807,467345267.084,0.63641180348905,63.641180348905,"Germany",2,"#ff7f79"
"DE",2012,281168981.961,160386105.357,441555087.318,0.636769884520676,63.6769884520676,"Germany",2,"#ff7f79"
"DE",2013,285915710.715,164132134.059,450047844.774,0.635300699770217,63.5300699770217,"Germany",2,"#ff7f79"
"DE",2014,303799495.314,173943767.331,477743262.645,0.635905347219405,63.5905347219405,"Germany",2,"#ff7f79"
"DE",2015,305320576.361,188489706.941,493810283.302,0.61829529818494,61.829529818494,"Germany",2,"#ff7f79"
"DE",2016,333171396.095,196007144.731,529178540.826,0.629601108871402,62.9601108871402,"Germany",2,"#ff7f79"
"DE",2017,337520697.608,203554224.742,541074922.35,0.623796601295211,62.3796601295211,"Germany",2,"#ff7f79"
"DE",2018,350797947.46,213055087.381,563853034.841,0.622144292544104,62.2144292544104,"Germany",2,"#ff7f79"
"DE",2019,352034795.768,219438960.753,571473756.521,0.616012182101076,61.6012182101076,"Germany",2,"#ff7f79"
"DE",2020,348290231.478,222655628.683,570945860.161,0.610023218978742,61.0023218978742,"Germany",2,"#ff7f79"
"DE",2021,366655627.916,243050285.819,609705913.735,0.601364722985714,60.1364722985714,"Germany",2,"#ff7f79"
"DE",2022,386246465.952,276951812.955,663198278.907,0.582399680814255,58.2399680814255,"Germany",2,"#ff7f79"
"DE",2023,414209489.773,269532537.442,683742027.215,0.605797908108921,60.5797908108921,"Germany",2,"#ff7f79"
"ES",2010,81155518.012,66946301.484,148101819.496,0.547971107229995,54.7971107229995,"Spain",2,"#86b80d"
"ES",2011,77647000.07,67207870.438,144854870.508,0.536033063974274,53.6033063974274,"Spain",2,"#86b80d"
"ES",2012,68593221.684,60021584.794,128614806.478,0.533322900856933,53.3322900856933,"Spain",2,"#86b80d"
"ES",2013,66919555.021,58268540.554,125188095.575,0.534552065143515,53.4552065143515,"Spain",2,"#86b80d"
"ES",2014,70894800.55,65016322.967,135911123.517,0.521626182724715,52.1626182724715,"Spain",2,"#86b80d"
"ES",2015,72996571.777,74973233.418,147969805.195,0.493320726352261,49.3320726352261,"Spain",2,"#86b80d"
"ES",2016,74027155.147,77796314.914,151823470.061,0.487587031947414,48.7587031947414,"Spain",2,"#86b80d"
"ES",2017,78155450.012,82692016.888,160847466.9,0.485897922536696,48.5897922536696,"Spain",2,"#86b80d"
"ES",2018,79567874.531,85831490.387,165399364.918,0.481065175615682,48.1065175615682,"Spain",2,"#86b80d"
"ES",2019,81351721.148,86021996.45,167373717.598,0.486048361209204,48.6048361209204,"Spain",2,"#86b80d"
"ES",2020,79265774.382,78492121.934,157757896.316,0.502452024482028,50.2452024482028,"Spain",2,"#86b80d"
"ES",2021,90271637.108,94211454.309,184483091.417,0.489322010026126,48.9322010026126,"Spain",2,"#86b80d"
"ES",2022,96570995.661,110056002.06,206626997.721,0.467368721058397,46.7368721058397,"Spain",2,"#86b80d"
"ES",2023,104583379.368,107678429.218,212261808.586,0.492709357678101,49.2709357678101,"Spain",2,"#86b80d"
"FR",2010,127390871.456,118778730.244,246169601.7,0.517492292209367,51.7492292209367,"France",2,"#20c3c7"
"FR",2011,131243083.794,132483691.923,263726775.717,0.497647929138732,49.7647929138732,"France",2,"#20c3c7"
"FR",2012,125894049.277,126883591.087,252777640.364,0.498042663487611,49.8042663487611,"France",2,"#20c3c7"
"FR",2013,126574406.619,128019509.247,254593915.866,0.497161945871557,49.7161945871557,"France",2,"#20c3c7"
"FR",2014,128782573.06,131840526.257,260623099.317,0.494133380339245,49.4133380339245,"France",2,"#20c3c7"
"FR",2015,129755862.97,140222209.721,269978072.691,0.480616302193217,48.0616302193217,"France",2,"#20c3c7"
"FR",2016,130280170.795,143653715.223,273933886.018,0.475589831870743,47.5589831870743,"France",2,"#20c3c7"
"FR",2017,130665520.322,150170861.545,280836381.867,0.465272766488928,46.5272766488928,"France",2,"#20c3c7"
"FR",2018,131163194.173,153382930.207,284546124.38,0.460955827315493,46.0955827315493,"France",2,"#20c3c7"
"FR",2019,132181716.001,154862791.222,287044507.223,0.460492058460851,46.0492058460851,"France",2,"#20c3c7"
"FR",2020,126872642.4,150825612.812,277698255.212,0.456872306608996,45.6872306608996,"France",2,"#20c3c7"
"FR",2021,134357191.739,163767516.628,298124708.367,0.450674459272267,45.0674459272267,"France",2,"#20c3c7"
"FR",2022,143953416.467,188783515.726,332736932.193,0.432634320206756,43.2634320206756,"France",2,"#20c3c7"
"FR",2023,157191019.686,191925311.233,349116330.919,0.450253986320882,45.0253986320882,"France",2,"#20c3c7"
"IT",2010,150217441.74,91994489.54,242211931.28,0.620190099414825,62.0190099414825,"Italy",2,"#c277f2"
"IT",2011,148593138.42,96025524.27,244618662.69,0.607448085873599,60.7448085873599,"Italy",2,"#c277f2"
"IT",2012,135776047.964,80650913.644,216426961.608,0.627352742723073,62.7352742723073,"Italy",2,"#c277f2"
"IT",2013,131436925.681,78207111.96,209644037.641,0.626952844259163,62.6952844259163,"Italy",2,"#c277f2"
"IT",2014,134150436.86,80216145.062,214366581.922,0.62579920646779,62.579920646779,"Italy",2,"#c277f2"
"IT",2015,133661368.987,93202252.571,226863621.558,0.589170568948306,58.9170568948306,"Italy",2,"#c277f2"
"IT",2016,142493656.882,97977791.638,240471448.52,0.592559564800679,59.2559564800679,"Italy",2,"#c277f2"
"IT",2017,146185005.342,103826372.565,250011377.907,0.584713410108793,58.4713410108793,"Italy",2,"#c277f2"
"IT",2018,149891475.092,107723726.982,257615202.074,0.581842507294828,58.1842507294828,"Italy",2,"#c277f2"
"IT",2019,146924262.759,105254122.06,252178384.819,0.58262036559737,58.262036559737,"Italy",2,"#c277f2"
"IT",2020,145027347.755,95816910.161,240844257.916,0.602162364217882,60.2162364217882,"Italy",2,"#c277f2"
"IT",2021,168454368.308,113504777.056,281959145.364,0.59744247022217,59.744247022217,"Italy",2,"#c277f2"
"IT",2022,180035120.691,139733120.709,319768241.4,0.563017515131507,56.3017515131507,"Italy",2,"#c277f2"
"IT",2023,192939014.26,137869038.422,330808052.682,0.583235543076301,58.3235543076301,"Italy",2,"#c277f2"
